ปีที่เกิดเหตุ,วันที่เกิดเหตุ,เวลา,วันที่รายงาน,เวลาที่รายงาน,ACC_CODE,หน่วยงาน,สายทางหน่วยงาน,รหัสสายทาง,สายทาง,KM,จังหวัด,รถคันที่1,บริเวณที่เกิดเหตุ,มูลเหตุสันนิษฐาน,ลักษณะการเกิดเหตุ,สภาพอากาศ,LATITUDE,LONGITUDE,รถที่เกิดเหตุ,รถและคนที่เกิดเหตุ,รถจักรยานยนต์,รถสามล้อเครื่อง,รถยนต์นั่งส่วนบุคคล,รถตู้,รถปิคอัพโดยสาร,รถโดยสารมากกว่า4ล้อ,รถปิคอัพบรรทุก4ล้อ,รถบรรทุก6ล้อ,รถบรรทุกไม่เกิน10ล้อ,รถบรรทุกมากกว่า10ล้อ,รถอีแต๋น,รถอื่นๆ,คนเดินเท้า,ผู้เสียชีวิต,ผู้บาดเจ็บสาหัส,ผู้บาดเจ็บเล็กน้อย,รวมจำนวนผู้บาดเจ็บ
2025,45658,0.104166667,45677,0.46875,9995812,กรมทางหลวงชนบท,ทางหลวงชนบท,ฉช.2004,แยกทางหลวงหมายเลข 34 (กม.ที่ 35+900) - บ้านบางพระ,3.76,ฉะเชิงเทรา,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,เมาสุรา,,แจ่มใส,13.604799,100.935334,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2025,45658,0.113194444,45659,0.218055556,9966619,กรมทางหลวง,ทางหลวง,4021,เมืองภูเก็ต - ห้าแยกฉลอง,2.5,,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,7.853776976,98.3558684,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2025,45658,0.120833333,45677,0.469444444,9995833,กรมทางหลวงชนบท,ทางหลวงชนบท,รอ.4028,แยกทางหลวงหมายเลข 2116 (กม.ที่ 106+250) - บ้านเมยวดี,0.35,ร้อยเอ็ด,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,,แจ่มใส,16.323793,104.277014,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2025,45658,0.125,45659,0.895138889,9967154,กรมทางหลวง,ทางหลวง,4169,ทางรอบเกาะสมุย,39.2,สุราษฎร์ธานี,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,ไม่คุ้นเคยกับการขับขี่ด้านซ้าย,ชนในทิศทางตรงกันข้าม (ไม่ใช่การแซง),แจ่มใส,9.577874021,99.98052548,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2025,45658,0.125,45659,0.932638889,9967195,กรมทางหลวง,ทางหลวง,3459,สามแยกบ้านกรูด - ปากคลองบ้านกรูด,2.25,,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,11.37781346,99.52392742,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025,45658,0.125,45666,0.657638889,9970387,กรมทางหลวง,ทางหลวง,33,ประจันตคาม - พระปรง,192.22,,รถจักรยานยนต์,,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,14.013722,101.6968417,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2025,45658,0.134027778,45659,0.194444444,9995824,กรมทางหลวงชนบท,ทางหลวงชนบท,อท.2034,แยกทางหลวงหมายเลข 32 (กม.ที่ 52+550) - บ้านมหานาม,3.9,อ่างทอง,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,หลับใน,,แจ่มใส,14.631499,100.465003,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2025,45658,0.135416667,45660,0.595833333,9967633,กรมทางหลวง,ทางหลวง,2085,กันทรลักษ์ - กันทรารมย์,47.9,ศรีสะเกษ,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,แซงรถอย่างผิดกฎหมาย,ชนในทิศทางตรงกันข้าม (ไม่ใช่การแซง),แจ่มใส,15.05368888,104.6225612,3,3,2,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,2
2025,45658,0.135416667,45677,0.602777778,9973932,กรมทางหลวง,ทางหลวง,1074,,20.55,กำแพงเพชร,รถปิคอัพบรรทุก 4 ล้อ,ทางโค้งกว้าง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางโค้ง,แจ่มใส,16.13669611,99.92742192,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2
2025,45658,0.138888889,45658,0.840277778,9966373,กรมทางหลวง,ทางหลวง,3215,,24.97,,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ชนสิ่งกีดขวาง (บนผิวจราจร),แจ่มใส,13.9789608,100.3284328,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
